,Type,Name
0,Clear,RCAG_20120101_010000_59.fit.gz
1,Background noise,KASI_20120101_011500_59.fit.gz
2,Background noise,KASI_20120101_034500_59.fit.gz
3,Background noise,KASI_20120101_043000_59.fit.gz
4,Clear,RCAG_20120101_044500_59.fit.gz
5,Background noise,KRIM_20120101_050252_00.fit.gz
6,Type 2,KRIM_20120101_051752_00.fit.gz
7,Type 2,KRIM_20120101_053252_00.fit.gz
8,Type 2,KRIM_20120101_054752_00.fit.gz
9,Background noise,KRIM_20120101_060252_00.fit.gz
10,Background noise,KRIM_20120101_061752_00.fit.gz
11,Type 3,KRIM_20120101_063252_00.fit.gz
12,Background noise,KRIM_20120101_064752_00.fit.gz
13,Background noise,KRIM_20120101_070252_00.fit.gz
14,Background noise,KRIM_20120101_071752_00.fit.gz
15,Type 3,KRIM_20120101_073253_00.fit.gz
16,Background noise,KRIM_20120101_074753_00.fit.gz
17,Background noise,KRIM_20120101_080252_00.fit.gz
18,Type 3,KRIM_20120101_081753_00.fit.gz
19,Background noise,KRIM_20120101_083253_00.fit.gz
20,Background noise,KRIM_20120101_084753_00.fit.gz
21,Clear,KRIM_20120101_090253_00.fit.gz
22,Background noise,KRIM_20120101_091753_00.fit.gz
23,Clear,KRIM_20120101_093253_00.fit.gz
24,Background noise,KRIM_20120101_094753_00.fit.gz
25,Clear,KRIM_20120101_100253_00.fit.gz
26,Background noise,KRIM_20120101_101753_00.fit.gz
27,Background noise,KRIM_20120101_103253_00.fit.gz
28,Type 3,KRIM_20120101_104753_00.fit.gz
29,Type 3,KRIM_20120101_110253_00.fit.gz
30,Clear,KRIM_20120101_111753_00.fit.gz
31,Type 2,KRIM_20120101_113253_00.fit.gz
32,Background noise,BLENSW_20120101_114514_59.fit.gz
33,Background noise,BLENSW_20120101_120017_59.fit.gz
34,Background noise,BLENSW_20120101_121521_59.fit.gz
35,Background noise,BLENSW_20120101_123026_59.fit.gz
36,Background noise,BLENSW_20120101_124530_59.fit.gz
37,Background noise,BLENSW_20120101_130034_59.fit.gz
38,Background noise,BLENSW_20120101_131537_59.fit.gz
39,Background noise,BLENSW_20120101_133045_59.fit.gz
40,Background noise,BLENSW_20120101_134545_59.fit.gz
41,Background noise,BLENSW_20120101_140046_59.fit.gz
42,Background noise,BLENSW_20120101_141552_59.fit.gz
43,Background noise,BLENSW_20120101_143056_59.fit.gz
44,Background noise,BLENSW_20120101_144557_59.fit.gz
45,Background noise,BLEN7M_20120101_150017_25.fit.gz
46,Background noise,DARO_20120101_151502_59.fit.gz
47,Background noise,INPE_20120101_153000_59.fit.gz
48,Background noise,INPE_20120101_154500_59.fit.gz
49,Background noise,INPE_20120101_160000_59.fit.gz
50,Background noise,INPE_20120101_161500_59.fit.gz
51,Background noise,INPE_20120101_163000_59.fit.gz
52,Background noise,INPE_20120101_164500_58.fit.gz
53,Background noise,INPE_20120101_170000_58.fit.gz
54,Background noise,INPE_20120101_171500_58.fit.gz
55,Background noise,INPE_20120101_173000_58.fit.gz
56,Background noise,INPE_20120101_174500_58.fit.gz
57,Background noise,INPE_20120101_180000_58.fit.gz
58,Background noise,INPE_20120101_181500_58.fit.gz
59,Background noise,INPE_20120101_183000_58.fit.gz
60,Background noise,INPE_20120101_184500_58.fit.gz
61,Background noise,INPE_20120101_190000_58.fit.gz
62,Background noise,INPE_20120101_191500_58.fit.gz
63,Background noise,INPE_20120101_193000_58.fit.gz
64,Background noise,INPE_20120101_194500_58.fit.gz
65,Background noise,BIR_20120101_200000_02.fit.gz
66,Clear,RCAG_20120102_024503_59.fit.gz
67,Clear,RCAG_20120102_030003_59.fit.gz
68,Type 2,KRIM_20120102_050314_00.fit.gz
69,Background noise,SSRT_20120102_051500_59.fit.gz
70,Type 2,KRIM_20120102_051814_00.fit.gz
71,Clear,RCAG_20120102_053000_59.fit.gz
72,Type 2,KRIM_20120102_053314_00.fit.gz
73,Type 2,KRIM_20120102_054814_00.fit.gz
74,Type 2,KRIM_20120102_060314_00.fit.gz
75,Background noise,KRIM_20120102_061814_00.fit.gz
76,Clear,KRIM_20120102_064814_00.fit.gz
77,Background noise,KASI_20120102_070000_59.fit.gz
78,Background noise,KRIM_20120102_070315_00.fit.gz
79,Background noise,SSRT_20120102_071500_59.fit.gz
80,Background noise,KRIM_20120102_071814_00.fit.gz
81,Clear,MRO_20120102_072400_60.fit.gz
82,Background noise,SSRT_20120102_073000_59.fit.gz
83,Background noise,KRIM_20120102_073314_00.fit.gz
84,Background noise,SSRT_20120102_074500_59.fit.gz
85,Background noise,KRIM_20120102_074814_00.fit.gz
86,Background noise,MRO_20120102_075400_59.fit.gz
87,Background noise,BLENSW_20120102_080001_59.fit.gz
88,Background noise,KRIM_20120102_080314_00.fit.gz
89,Background noise,BLENSW_20120102_081504_59.fit.gz
90,Clear,KRIM_20120102_081815_00.fit.gz
91,Background noise,BLENSW_20120102_083007_59.fit.gz
92,Clear,KRIM_20120102_083315_00.fit.gz
93,Background noise,BLENSW_20120102_084511_59.fit.gz
94,Clear,KRIM_20120102_084815_00.fit.gz
95,Background noise,KRIM_20120102_090315_00.fit.gz
96,Type 3,KRIM_20120102_091815_00.fit.gz
97,Background noise,OSRA_20120102_092400_59.fit.gz
98,Type 3,KRIM_20120102_093315_00.fit.gz
99,Clear,KRIM_20120102_094815_00.fit.gz
100,Background noise,KRIM_20120102_100315_00.fit.gz
101,Type 3,KRIM_20120102_101815_00.fit.gz
102,Type 3,KRIM_20120102_103315_00.fit.gz
103,Background noise,KRIM_20120102_104815_00.fit.gz
104,Clear,KRIM_20120102_110315_00.fit.gz
105,Background noise,DARO_20120102_111502_59.fit.gz
106,Background noise,KRIM_20120102_111815_00.fit.gz
107,Background noise,BLENSW_20120102_113003_59.fit.gz
108,Type 3,KRIM_20120102_113315_00.fit.gz
109,Background noise,BLENSW_20120102_114504_59.fit.gz
110,Background noise,BLENSW_20120102_120010_59.fit.gz
111,Background noise,BLENSW_20120102_121516_59.fit.gz
112,Background noise,BLENSW_20120102_123020_59.fit.gz
113,Background noise,BLENSW_20120102_124523_59.fit.gz
114,Background noise,BLENSW_20120102_130030_59.fit.gz
115,Background noise,BLENSW_20120102_131532_59.fit.gz
116,Background noise,BLENSW_20120102_133040_59.fit.gz
117,Background noise,BLENSW_20120102_134542_59.fit.gz
118,Background noise,BLENSW_20120102_140045_59.fit.gz
119,Background noise,BLENSW_20120102_141547_59.fit.gz
120,Background noise,BLENSW_20120102_143051_59.fit.gz
121,Background noise,BLENSW_20120102_144552_59.fit.gz
122,Background noise,BLEN7M_20120102_150018_25.fit.gz
123,Background noise,DARO_20120102_151502_59.fit.gz
124,Background noise,INPE_20120102_153000_59.fit.gz
125,Background noise,INPE_20120102_154500_59.fit.gz
126,Background noise,INPE_20120102_160000_59.fit.gz
127,Background noise,INPE_20120102_161500_59.fit.gz
128,Background noise,INPE_20120102_163000_59.fit.gz
129,Background noise,INPE_20120102_164500_58.fit.gz
130,Background noise,INPE_20120102_170000_58.fit.gz
131,Background noise,INPE_20120102_171500_58.fit.gz
132,Background noise,INPE_20120102_173000_58.fit.gz
133,Background noise,INPE_20120102_174500_58.fit.gz
134,Background noise,KASI_20120103_001500_59.fit.gz
135,Clear,RCAG_20120103_003000_59.fit.gz
136,Clear,RCAG_20120103_004500_59.fit.gz
137,Clear,RCAG_20120103_010000_59.fit.gz
